ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
CLEANERS - UTENSIL,PACKAGED PURE GHEE,9.10%,4.90%,1.00%,20.40%,11.00%
COCONUT OIL PKTYP (08/02),VERMICELLI & NOODLE,4.20%,17.20%,1.00%,5.70%,23.10%
KETCHUPS/SAUCES,TOILET SOAPS (04/00),5.00%,11.80%,1.00%,8.30%,19.60%
PACKAGED ATTA (1/95),PACKAGED PURE GHEE,8.70%,4.90%,1.00%,20.80%,11.60%
PACKAGED PURE GHEE,TOOTH PASTES,4.90%,9.10%,1.00%,10.80%,20.10%
SALTY SNACKS (2/97),SHAMPOO - BY SEGMENTS,20.10%,4.30%,1.00%,22.70%,4.90%
SHAMPOO - BY SEGMENTS,TOOTH PASTES,4.30%,9.10%,1.00%,10.90%,23.10%
SKIN CREAMS,TOILET SOAPS (04/00),4.00%,11.80%,1.00%,8.30%,24.80%
BISCUITS - CORE & NON CORE,"FRAGRANCE-PERFUM,DEO & COLOGNE",47.50%,1.70%,0.90%,50.90%,1.80%
BISCUITS - CORE & NON CORE,JAMS/JELLY/MARMALADES-CTG,47.50%,1.70%,0.90%,52.30%,1.80%
BISCUITS - CORE & NON CORE,NON-REFINED OILS   (9/93),47.50%,1.70%,0.90%,54.10%,1.90%
BISCUITS - CORE & NON CORE,TALCUM POWDERS,47.50%,1.70%,0.90%,53.20%,1.90%
BISCUITS - CORE & NON CORE,TOOTH BRUSH   (7/93),47.50%,1.60%,0.90%,55.90%,1.90%
BREAKFAST CEREALS,CHOCOLATE,4.90%,18.00%,0.90%,5.20%,19.00%
BREAKFAST CEREALS,SALTY SNACKS (2/97),4.90%,20.10%,0.90%,4.70%,19.40%
BREAKFAST CEREALS,SPICES (03/04),4.90%,15.40%,0.90%,5.80%,18.10%
BREAKFAST CEREALS,TOILET SOAPS (04/00),4.90%,11.80%,0.90%,7.40%,17.80%
BREAKFAST CEREALS,VERMICELLI & NOODLE,4.90%,17.20%,0.90%,5.50%,19.40%
BREAKFAST CEREALS,WASHING POWDERS/LIQUIDS,4.90%,14.40%,0.90%,6.20%,18.10%
BUTTER MARGR  (4/94),KETCHUPS/SAUCES,7.80%,5.00%,0.90%,18.30%,11.80%
BUTTER MARGR  (4/94),PACKAGED PURE GHEE,7.80%,4.90%,0.90%,18.20%,11.40%
CHEESE        (4/94),CHOCOLATE,3.70%,18.00%,0.90%,5.10%,24.60%
CHEESE        (4/94),VERMICELLI & NOODLE,3.70%,17.20%,0.90%,5.00%,22.90%
CHOCOLATE,CONFECTIONERY - TOFFEE/HBC,18.00%,4.20%,0.90%,21.20%,4.90%
CLEANERS - FLOOR,CLEANERS - TOILET,4.20%,2.60%,0.90%,34.10%,20.70%
CLEANERS - FLOOR,SALTY SNACKS (2/97),4.20%,20.10%,0.90%,4.70%,22.50%
CLEANERS - TOILET,PACKAGED TEA,2.60%,13.30%,0.90%,6.70%,34.80%
CLEANERS - TOILET,SPICES (03/04),2.60%,15.40%,0.90%,5.60%,33.50%
CLEANERS - TOILET,WASHING POWDERS/LIQUIDS,2.60%,14.40%,0.90%,6.40%,36.00%
CLEANERS - UTENSIL,SHAMPOO - BY SEGMENTS,9.10%,4.30%,0.90%,20.20%,9.60%
COCONUT OIL PKTYP (08/02),SALTY SNACKS (2/97),4.20%,20.10%,0.90%,4.60%,21.60%
COFFEE,PACKAGED TEA,2.50%,13.30%,0.90%,6.70%,35.60%
COFFEE,WASHING POWDERS/LIQUIDS,2.50%,14.40%,0.90%,6.20%,35.60%
CONFECTIONERY - TOFFEE/HBC,SALTY SNACKS (2/97),4.20%,20.10%,0.90%,4.70%,22.70%
PACKAGED TEA,PRE-POST WASH PRODUCTS,13.30%,3.30%,0.90%,28.00%,7.00%
PRE-POST WASH PRODUCTS,SPICES (03/04),3.30%,15.40%,0.90%,5.70%,26.20%
PRE-POST WASH PRODUCTS,TOILET SOAPS (04/00),3.30%,11.80%,0.90%,8.00%,28.50%
SALTY SNACKS (2/97),SKIN CREAMS,20.10%,4.00%,0.90%,23.20%,4.60%
SHAMPOO - BY SEGMENTS,VERMICELLI & NOODLE,4.30%,17.20%,0.90%,5.20%,20.60%
ALL IODISED SALT,DETERGENT CAKES/BARS,6.80%,4.90%,0.80%,16.90%,12.10%
BEVERAGES,VERMICELLI & NOODLE,2.90%,17.20%,0.80%,4.60%,27.60%
CHEESE        (4/94),REFINED EDIBLE OILS-ALL PACKS,3.70%,12.40%,0.80%,6.70%,22.10%
CHOCOLATE,KETCHUPS/SAUCES,18.00%,5.00%,0.80%,16.50%,4.60%
CHOCOLATE,PRE-POST WASH PRODUCTS,18.00%,3.30%,0.80%,22.90%,4.20%
CHOCOLATE,READY TO EAT,18.00%,3.90%,0.80%,20.40%,4.40%
CLEANERS - TOILET,CLEANERS - UTENSIL,2.60%,9.10%,0.80%,9.30%,32.90%
CONFECTIONERY - TOFFEE/HBC,WASHING POWDERS/LIQUIDS,4.20%,14.40%,0.80%,5.30%,18.20%
HAIR DYES     (1/76),WASHING POWDERS/LIQUIDS,3.00%,14.40%,0.80%,5.40%,26.20%
LIQUID TOILET SOAPS  (8/93),WASHING POWDERS/LIQUIDS,2.30%,14.40%,0.80%,5.50%,34.90%
PACKAGED TEA,SHAMPOO - BY SEGMENTS,13.30%,4.30%,0.80%,18.00%,5.90%
PRE-POST WASH PRODUCTS,SALTY SNACKS (2/97),3.30%,20.10%,0.80%,3.80%,22.90%
READY TO EAT,SALTY SNACKS (2/97),3.90%,20.10%,0.80%,4.00%,20.80%
READY TO EAT,SPICES (03/04),3.90%,15.40%,0.80%,5.30%,20.80%
READY TO EAT,VERMICELLI & NOODLE,3.90%,17.20%,0.80%,4.70%,20.80%
SKIN CREAMS,TOOTH PASTES,4.00%,9.10%,0.80%,8.90%,20.50%
SKIN CREAMS,VERMICELLI & NOODLE,4.00%,17.20%,0.80%,4.70%,20.50%
SKIN CREAMS,WASHING POWDERS/LIQUIDS,4.00%,14.40%,0.80%,5.80%,21.30%
ALL AIR FRESHNERS(01/03),BISCUITS - CORE & NON CORE,1.20%,47.50%,0.70%,1.60%,61.50%
ALL IODISED SALT,CLEANERS - FLOOR,6.80%,4.20%,0.70%,17.00%,10.50%
ALL IODISED SALT,COCONUT OIL PKTYP (08/02),6.80%,4.20%,0.70%,15.40%,9.60%
ALL IODISED SALT,KETCHUPS/SAUCES,6.80%,5.00%,0.70%,13.40%,9.80%
BEVERAGES,WASHING POWDERS/LIQUIDS,2.90%,14.40%,0.70%,4.50%,22.70%
BISCUITS - CORE & NON CORE,PACKAGED RICE (1/95),47.50%,1.20%,0.70%,57.30%,1.40%
BREAKFAST CEREALS,REFINED EDIBLE OILS-ALL PACKS,4.90%,12.40%,0.70%,6.00%,15.20%
BUTTER MARGR  (4/94),CLEANERS - FLOOR,7.80%,4.20%,0.70%,17.00%,9.20%
BUTTER MARGR  (4/94),COCONUT OIL PKTYP (08/02),7.80%,4.20%,0.70%,15.40%,8.40%
BUTTER MARGR  (4/94),PRE-POST WASH PRODUCTS,7.80%,3.30%,0.70%,19.60%,8.40%
CHEESE        (4/94),CLEANERS - UTENSIL,3.70%,9.10%,0.70%,7.50%,18.30%
CHEESE        (4/94),KETCHUPS/SAUCES,3.70%,5.00%,0.70%,13.70%,18.30%
CHOCOLATE,COFFEE,18.00%,2.50%,0.70%,28.80%,4.00%
CHOCOLATE,SHAMPOO - BY SEGMENTS,18.00%,4.30%,0.70%,16.20%,3.90%
CLEANERS - FLOOR,PACKAGED ATTA (1/95),4.20%,8.70%,0.70%,7.50%,15.50%
CLEANERS - TOILET,REFINED EDIBLE OILS-ALL PACKS,2.60%,12.40%,0.70%,6.00%,29.30%
CLEANERS - TOILET,SALTY SNACKS (2/97),2.60%,20.10%,0.70%,3.30%,26.20%
CLEANERS - TOILET,TOILET SOAPS (04/00),2.60%,11.80%,0.70%,5.80%,26.80%
CLEANERS - TOILET,VERMICELLI & NOODLE,2.60%,17.20%,0.70%,4.20%,28.10%
CLEANERS - UTENSIL,KETCHUPS/SAUCES,9.10%,5.00%,0.70%,14.90%,8.20%
CLEANERS - UTENSIL,PRE-POST WASH PRODUCTS,9.10%,3.30%,0.70%,22.40%,8.20%
COFFEE,SPICES (03/04),2.50%,15.40%,0.70%,4.80%,30.00%
CONFECTIONERY - TOFFEE/HBC,SPICES (03/04),4.20%,15.40%,0.70%,4.50%,16.70%
HAIR DYES     (1/76),SALTY SNACKS (2/97),3.00%,20.10%,0.70%,3.40%,23.00%
HAIR OILS PKTP(8/02),PACKAGED TEA,3.00%,13.30%,0.70%,5.00%,22.30%
HAIR OILS PKTP(8/02),SALTY SNACKS (2/97),3.00%,20.10%,0.70%,3.50%,23.30%
HAIR OILS PKTP(8/02),TOILET SOAPS (04/00),3.00%,11.80%,0.70%,6.10%,23.80%
HAIR OILS PKTP(8/02),TOOTH PASTES,3.00%,9.10%,0.70%,7.20%,21.80%
HAIR OILS PKTP(8/02),VERMICELLI & NOODLE,3.00%,17.20%,0.70%,3.80%,21.80%
KETCHUPS/SAUCES,PACKAGED ATTA (1/95),5.00%,8.70%,0.70%,7.90%,13.70%
KETCHUPS/SAUCES,TOOTH PASTES,5.00%,9.10%,0.70%,7.50%,13.70%
LIQUID TOILET SOAPS  (8/93),PACKAGED TEA,2.30%,13.30%,0.70%,5.30%,30.80%
LIQUID TOILET SOAPS  (8/93),SPICES (03/04),2.30%,15.40%,0.70%,4.20%,28.80%
MILK POWDERS,PACKAGED TEA,1.70%,13.30%,0.70%,5.40%,42.60%
