ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
CHEESE        (4/94),PACKAGED RICE (1/95),3.70%,1.20%,0.10%,10.70%,3.30%
CHEESE        (4/94),PRICKLY HEAT POWDER,3.70%,0.80%,0.10%,9.60%,2.10%
CHEESE        (4/94),RUBEFACIENT,3.70%,0.60%,0.10%,10.30%,1.70%
CHEESE        (4/94),SOAP CAKES/BARS,3.70%,0.80%,0.10%,8.00%,1.70%
CHEESE        (4/94),SUGAR SUBSTITUTE (11/05),3.70%,0.40%,0.10%,14.30%,1.70%
CHEESE        (4/94),TOOTH BRUSH   (7/93),3.70%,1.60%,0.10%,7.80%,3.30%
CHEESE        (4/94),VANASPATI CONS PACK (8/94),3.70%,1.00%,0.10%,9.40%,2.50%
CHOCOLATE,CONFECTIONERY - COUGH LOZENGE,18.00%,0.40%,0.10%,30.40%,0.60%
CHOCOLATE,HAIR CONDITIONERS,18.00%,0.90%,0.10%,15.50%,0.80%
CHOCOLATE,RUBEFACIENT,18.00%,0.60%,0.10%,18.00%,0.60%
CHOCOLATE,SHAVING PREPARATIONS,18.00%,0.50%,0.10%,14.30%,0.40%
CHOCOLATE,SUGAR SUBSTITUTE (11/05),18.00%,0.40%,0.10%,14.30%,0.30%
CHOCOLATE,VANASPATI CONS PACK (8/94),18.00%,1.00%,0.10%,10.90%,0.60%
CLEANERS - FLOOR,DIAPERS       (8/93),4.20%,2.40%,0.10%,5.30%,3.00%
CLEANERS - FLOOR,"FRAGRANCE-PERFUM,DEO & COLOGNE",4.20%,1.70%,0.10%,7.30%,3.00%
CLEANERS - FLOOR,HAIR OILS PKTP(8/02),4.20%,3.00%,0.10%,4.10%,3.00%
CLEANERS - FLOOR,HOME INSECTICIDES CTG  (8/93),4.20%,1.80%,0.10%,7.80%,3.30%
CLEANERS - FLOOR,MILK POWDERS,4.20%,1.70%,0.10%,7.40%,3.00%
CLEANERS - FLOOR,NON-REFINED OILS   (9/93),4.20%,1.70%,0.10%,5.50%,2.20%
CLEANERS - FLOOR,PACKAGED RICE (1/95),4.20%,1.20%,0.10%,9.30%,2.60%
CLEANERS - FLOOR,PRICKLY HEAT POWDER,4.20%,0.80%,0.10%,9.60%,1.80%
CLEANERS - FLOOR,SOAP CAKES/BARS,4.20%,0.80%,0.10%,12.00%,2.20%
CLEANERS - GLASS,CLEANERS - TOILET,0.40%,2.60%,0.10%,4.90%,29.60%
CLEANERS - GLASS,PACKAGED TEA,0.40%,13.30%,0.10%,0.90%,29.60%
CLEANERS - GLASS,REFINED EDIBLE OILS-ALL PACKS,0.40%,12.40%,0.10%,0.80%,22.20%
CLEANERS - GLASS,SALTY SNACKS (2/97),0.40%,20.10%,0.10%,0.60%,29.60%
CLEANERS - GLASS,SCOURING PADS/SCRUBS,0.40%,1.70%,0.10%,4.70%,18.50%
CLEANERS - GLASS,TOILET SOAPS (04/00),0.40%,11.80%,0.10%,1.10%,29.60%
CLEANERS - GLASS,TOOTH PASTES,0.40%,9.10%,0.10%,1.50%,33.30%
CLEANERS - GLASS,VERMICELLI & NOODLE,0.40%,17.20%,0.10%,0.50%,22.20%
CLEANERS - TOILET,DIAPERS       (8/93),2.60%,2.40%,0.10%,4.00%,3.70%
CLEANERS - TOILET,"FRAGRANCE-PERFUM,DEO & COLOGNE",2.60%,1.70%,0.10%,4.50%,3.00%
CLEANERS - TOILET,HAIR CONDITIONERS,2.60%,0.90%,0.10%,6.90%,2.40%
CLEANERS - TOILET,HAIR OILS PKTP(8/02),2.60%,3.00%,0.10%,2.10%,2.40%
CLEANERS - TOILET,HOME INSECTICIDES CTG  (8/93),2.60%,1.80%,0.10%,7.00%,4.90%
CLEANERS - TOILET,JAMS/JELLY/MARMALADES-CTG,2.60%,1.70%,0.10%,6.50%,4.30%
CLEANERS - TOILET,MILK POWDERS,2.60%,1.70%,0.10%,6.50%,4.30%
CLEANERS - TOILET,MOSQUITO REPELLANTS CTG (8/93),2.60%,1.90%,0.10%,6.70%,4.90%
CLEANERS - TOILET,NON-REFINED OILS   (9/93),2.60%,1.70%,0.10%,3.70%,2.40%
CLEANERS - TOILET,PACKAGED RICE (1/95),2.60%,1.20%,0.10%,10.70%,4.90%
CLEANERS - TOILET,READY TO EAT,2.60%,3.90%,0.10%,2.80%,4.30%
CLEANERS - TOILET,SANITARY NAPKINS,2.60%,2.90%,0.10%,3.20%,3.70%
CLEANERS - TOILET,SKIN CREAMS,2.60%,4.00%,0.10%,1.60%,2.40%
CLEANERS - TOILET,SOAP CAKES/BARS,2.60%,0.80%,0.10%,16.00%,4.90%
CLEANERS - TOILET,SQSH CRDLS & SFT DRNK-CONVERTD,2.60%,1.90%,0.10%,5.00%,3.70%
CLEANERS - TOILET,TALCUM POWDERS,2.60%,1.70%,0.10%,7.30%,4.90%
CLEANERS - TOILET,VANASPATI CONS PACK (8/94),2.60%,1.00%,0.10%,6.30%,2.40%
CLEANERS - UTENSIL,CONFECTIONERY - COUGH LOZENGE,9.10%,0.40%,0.10%,17.40%,0.70%
CLEANERS - UTENSIL,CONFECTIONERY - ECLAIRS,9.10%,1.10%,0.10%,7.00%,0.90%
CLEANERS - UTENSIL,CONFECTIONERY - LOLLIPOP/FMR,9.10%,0.70%,0.10%,13.60%,1.00%
CLEANERS - UTENSIL,CONFECTIONERY - TOTAL GUM,9.10%,1.10%,0.10%,8.30%,1.00%
CLEANERS - UTENSIL,GLUCOSE POWDER & TABLET,9.10%,0.90%,0.10%,16.40%,1.50%
CLEANERS - UTENSIL,HAIR CONDITIONERS,9.10%,0.90%,0.10%,12.10%,1.20%
CLEANERS - UTENSIL,RUBEFACIENT,9.10%,0.60%,0.10%,23.10%,1.50%
CLEANERS - UTENSIL,SHAVING PREPARATIONS,9.10%,0.50%,0.10%,14.30%,0.90%
CLEANERS - UTENSIL,TWIN BLADES,9.10%,0.50%,0.10%,11.40%,0.70%
COCONUT OIL PKTYP (08/02),CONFECTIONERY - ECLAIRS,4.20%,1.10%,0.10%,8.50%,2.20%
COCONUT OIL PKTYP (08/02),DIAPERS       (8/93),4.20%,2.40%,0.10%,4.60%,2.60%
COCONUT OIL PKTYP (08/02),"FRAGRANCE-PERFUM,DEO & COLOGNE",4.20%,1.70%,0.10%,6.40%,2.60%
COCONUT OIL PKTYP (08/02),HOME INSECTICIDES CTG  (8/93),4.20%,1.80%,0.10%,6.10%,2.60%
COCONUT OIL PKTYP (08/02),JAMS/JELLY/MARMALADES-CTG,4.20%,1.70%,0.10%,8.40%,3.30%
COCONUT OIL PKTYP (08/02),MILK POWDERS,4.20%,1.70%,0.10%,4.60%,1.80%
COCONUT OIL PKTYP (08/02),NON-REFINED OILS   (9/93),4.20%,1.70%,0.10%,6.40%,2.60%
COCONUT OIL PKTYP (08/02),PACKAGED RICE (1/95),4.20%,1.20%,0.10%,9.30%,2.60%
COCONUT OIL PKTYP (08/02),READY TO EAT,4.20%,3.90%,0.10%,2.80%,2.60%
COCONUT OIL PKTYP (08/02),RUBEFACIENT,4.20%,0.60%,0.10%,18.00%,2.60%
COCONUT OIL PKTYP (08/02),SANITARY NAPKINS,4.20%,2.90%,0.10%,3.80%,2.60%
COCONUT OIL PKTYP (08/02),SOAP CAKES/BARS,4.20%,0.80%,0.10%,18.00%,3.30%
COCONUT OIL PKTYP (08/02),SQSH CRDLS & SFT DRNK-CONVERTD,4.20%,1.90%,0.10%,4.20%,1.80%
COCONUT OIL PKTYP (08/02),VANASPATI CONS PACK (8/94),4.20%,1.00%,0.10%,10.90%,2.60%
COFFEE,CONFECTIONERY - TOFFEE/HBC,2.50%,4.20%,0.10%,2.60%,4.40%
COFFEE,DIAPERS       (8/93),2.50%,2.40%,0.10%,3.30%,3.10%
COFFEE,HAIR DYES     (1/76),2.50%,3.00%,0.10%,3.10%,3.70%
COFFEE,HAIR OILS PKTP(8/02),2.50%,3.00%,0.10%,3.10%,3.70%
COFFEE,HOME INSECTICIDES CTG  (8/93),2.50%,1.80%,0.10%,4.30%,3.10%
COFFEE,JAMS/JELLY/MARMALADES-CTG,2.50%,1.70%,0.10%,6.50%,4.40%
COFFEE,MOSQUITO REPELLANTS CTG (8/93),2.50%,1.90%,0.10%,6.70%,5.00%
COFFEE,NON-REFINED OILS   (9/93),2.50%,1.70%,0.10%,6.40%,4.40%
COFFEE,READY TO EAT,2.50%,3.90%,0.10%,3.20%,5.00%
COFFEE,SKIN CREAMS,2.50%,4.00%,0.10%,2.40%,3.70%
COFFEE,SOAP CAKES/BARS,2.50%,0.80%,0.10%,16.00%,5.00%
COFFEE,SUGAR SUBSTITUTE (11/05),2.50%,0.40%,0.10%,17.80%,3.10%
COFFEE,TALCUM POWDERS,2.50%,1.70%,0.10%,4.60%,3.10%
COFFEE,TOOTH BRUSH   (7/93),2.50%,1.60%,0.10%,6.90%,4.40%
CONFECTIONERY - COUGH LOZENGE,VERMICELLI & NOODLE,0.40%,17.20%,0.10%,0.40%,17.40%
CONFECTIONERY - COUGH LOZENGE,WASHING POWDERS/LIQUIDS,0.40%,14.40%,0.10%,0.50%,21.70%
CONFECTIONERY - ECLAIRS,CONFECTIONERY - TOFFEE/HBC,1.10%,4.20%,0.10%,3.00%,11.30%
CONFECTIONERY - ECLAIRS,DETERGENT CAKES/BARS,1.10%,4.90%,0.10%,1.60%,7.00%
CONFECTIONERY - ECLAIRS,DIAPERS       (8/93),1.10%,2.40%,0.10%,2.70%,5.60%
CONFECTIONERY - ECLAIRS,HAIR OILS PKTP(8/02),1.10%,3.00%,0.10%,4.10%,11.30%
CONFECTIONERY - ECLAIRS,KETCHUPS/SAUCES,1.10%,5.00%,0.10%,1.90%,8.50%
CONFECTIONERY - ECLAIRS,PACKAGED PURE GHEE,1.10%,4.90%,0.10%,1.60%,7.00%
CONFECTIONERY - ECLAIRS,PRE-POST WASH PRODUCTS,1.10%,3.30%,0.10%,2.80%,8.50%
CONFECTIONERY - ECLAIRS,SHAMPOO - BY SEGMENTS,1.10%,4.30%,0.10%,2.50%,9.90%
CONFECTIONERY - ECLAIRS,SKIN CREAMS,1.10%,4.00%,0.10%,3.10%,11.30%
CONFECTIONERY - ECLAIRS,TALCUM POWDERS,1.10%,1.70%,0.10%,3.70%,5.60%
CONFECTIONERY - ECLAIRS,TOOTH PASTES,1.10%,9.10%,0.10%,1.20%,9.90%
CONFECTIONERY - LOLLIPOP/FMR,CONFECTIONERY - TOFFEE/HBC,0.70%,4.20%,0.10%,3.00%,18.20%
CONFECTIONERY - LOLLIPOP/FMR,PACKAGED PURE GHEE,0.70%,4.90%,0.10%,1.30%,9.10%
CONFECTIONERY - LOLLIPOP/FMR,PACKAGED TEA,0.70%,13.30%,0.10%,0.70%,13.60%
CONFECTIONERY - LOLLIPOP/FMR,REFINED EDIBLE OILS-ALL PACKS,0.70%,12.40%,0.10%,0.60%,11.40%
CONFECTIONERY - LOLLIPOP/FMR,SPICES (03/04),0.70%,15.40%,0.10%,0.60%,13.60%
CONFECTIONERY - LOLLIPOP/FMR,TOOTH PASTES,0.70%,9.10%,0.10%,1.40%,18.20%
CONFECTIONERY - LOLLIPOP/FMR,VERMICELLI & NOODLE,0.70%,17.20%,0.10%,0.80%,20.50%
CONFECTIONERY - LOLLIPOP/FMR,WASHING POWDERS/LIQUIDS,0.70%,14.40%,0.10%,0.50%,11.40%
CONFECTIONERY - TOFFEE/HBC,CONFECTIONERY - TOTAL GUM,4.20%,1.10%,0.10%,12.50%,3.30%
CONFECTIONERY - TOFFEE/HBC,DIAPERS       (8/93),4.20%,2.40%,0.10%,3.30%,1.90%
CONFECTIONERY - TOFFEE/HBC,"FRAGRANCE-PERFUM,DEO & COLOGNE",4.20%,1.70%,0.10%,3.60%,1.50%
CONFECTIONERY - TOFFEE/HBC,JAMS/JELLY/MARMALADES-CTG,4.20%,1.70%,0.10%,4.70%,1.90%
CONFECTIONERY - TOFFEE/HBC,MOSQUITO REPELLANTS CTG (8/93),4.20%,1.90%,0.10%,5.00%,2.20%
CONFECTIONERY - TOFFEE/HBC,NON-REFINED OILS   (9/93),4.20%,1.70%,0.10%,4.60%,1.90%
CONFECTIONERY - TOFFEE/HBC,PACKAGED RICE (1/95),4.20%,1.20%,0.10%,6.70%,1.90%
CONFECTIONERY - TOFFEE/HBC,PRICKLY HEAT POWDER,4.20%,0.80%,0.10%,9.60%,1.90%
CONFECTIONERY - TOFFEE/HBC,SANITARY NAPKINS,4.20%,2.90%,0.10%,3.20%,2.20%
CONFECTIONERY - TOFFEE/HBC,SCOURING PADS/SCRUBS,4.20%,1.70%,0.10%,4.70%,1.90%
CONFECTIONERY - TOFFEE/HBC,SOAP CAKES/BARS,4.20%,0.80%,0.10%,10.00%,1.90%
CONFECTIONERY - TOFFEE/HBC,SQSH CRDLS & SFT DRNK-CONVERTD,4.20%,1.90%,0.10%,5.00%,2.20%
CONFECTIONERY - TOFFEE/HBC,TALCUM POWDERS,4.20%,1.70%,0.10%,7.30%,3.00%
CONFECTIONERY - TOFFEE/HBC,VANASPATI CONS PACK (8/94),4.20%,1.00%,0.10%,7.80%,1.90%
CONFECTIONERY - TOTAL GUM,DETERGENT CAKES/BARS,1.10%,4.90%,0.10%,1.60%,6.90%
CONFECTIONERY - TOTAL GUM,HOME INSECTICIDES CTG  (8/93),1.10%,1.80%,0.10%,3.50%,5.60%
CONFECTIONERY - TOTAL GUM,KETCHUPS/SAUCES,1.10%,5.00%,0.10%,1.60%,6.90%
CONFECTIONERY - TOTAL GUM,PACKAGED ATTA (1/95),1.10%,8.70%,0.10%,1.10%,8.30%
CONFECTIONERY - TOTAL GUM,PACKAGED TEA,1.10%,13.30%,0.10%,0.50%,5.60%
CONFECTIONERY - TOTAL GUM,READY TO EAT,1.10%,3.90%,0.10%,1.60%,5.60%
CONFECTIONERY - TOTAL GUM,REFINED EDIBLE OILS-ALL PACKS,1.10%,12.40%,0.10%,1.10%,12.50%
CONFECTIONERY - TOTAL GUM,SPICES (03/04),1.10%,15.40%,0.10%,0.70%,9.70%
CONFECTIONERY - TOTAL GUM,TOILET SOAPS (04/00),1.10%,11.80%,0.10%,1.20%,12.50%
CONFECTIONERY - TOTAL GUM,TOOTH PASTES,1.10%,9.10%,0.10%,0.90%,6.90%
CONFECTIONERY - TOTAL GUM,VERMICELLI & NOODLE,1.10%,17.20%,0.10%,0.70%,11.10%
CONFECTIONERY - TOTAL GUM,WASHING POWDERS/LIQUIDS,1.10%,14.40%,0.10%,0.50%,6.90%
DETERGENT CAKES/BARS,DIAPERS       (8/93),4.90%,2.40%,0.10%,4.00%,1.90%
DETERGENT CAKES/BARS,"FRAGRANCE-PERFUM,DEO & COLOGNE",4.90%,1.70%,0.10%,8.20%,2.90%
DETERGENT CAKES/BARS,GLUCOSE POWDER & TABLET,4.90%,0.90%,0.10%,12.70%,2.20%
DETERGENT CAKES/BARS,HAIR CONDITIONERS,4.90%,0.90%,0.10%,6.90%,1.30%
DETERGENT CAKES/BARS,NON-REFINED OILS   (9/93),4.90%,1.70%,0.10%,5.50%,1.90%
DETERGENT CAKES/BARS,PACKAGED RICE (1/95),4.90%,1.20%,0.10%,8.00%,1.90%
DETERGENT CAKES/BARS,PRICKLY HEAT POWDER,4.90%,0.80%,0.10%,9.60%,1.60%
DETERGENT CAKES/BARS,SANITARY NAPKINS,4.90%,2.90%,0.10%,3.80%,2.20%
DETERGENT CAKES/BARS,SHAVING PREPARATIONS,4.90%,0.50%,0.10%,11.40%,1.30%
DETERGENT CAKES/BARS,SOAP CAKES/BARS,4.90%,0.80%,0.10%,18.00%,2.90%
DETERGENT CAKES/BARS,SUGAR SUBSTITUTE (11/05),4.90%,0.40%,0.10%,14.30%,1.30%
DETERGENT CAKES/BARS,TWIN BLADES,4.90%,0.50%,0.10%,11.40%,1.30%
DETERGENT CAKES/BARS,VANASPATI CONS PACK (8/94),4.90%,1.00%,0.10%,9.40%,1.90%
DIAPERS       (8/93),"FRAGRANCE-PERFUM,DEO & COLOGNE",2.40%,1.70%,0.10%,3.60%,2.70%
DIAPERS       (8/93),HAIR CONDITIONERS,2.40%,0.90%,0.10%,6.90%,2.70%
DIAPERS       (8/93),HAIR DYES     (1/76),2.40%,3.00%,0.10%,3.10%,4.00%
DIAPERS       (8/93),HAIR OILS PKTP(8/02),2.40%,3.00%,0.10%,2.10%,2.70%
DIAPERS       (8/93),JAMS/JELLY/MARMALADES-CTG,2.40%,1.70%,0.10%,3.70%,2.70%
DIAPERS       (8/93),KETCHUPS/SAUCES,2.40%,5.00%,0.10%,2.80%,6.00%
DIAPERS       (8/93),LIQUID TOILET SOAPS  (8/93),2.40%,2.30%,0.10%,4.80%,4.60%
DIAPERS       (8/93),MILK POWDERS,2.40%,1.70%,0.10%,3.70%,2.70%
DIAPERS       (8/93),PACKAGED PURE GHEE,2.40%,4.90%,0.10%,1.60%,3.30%
DIAPERS       (8/93),READY TO EAT,2.40%,3.90%,0.10%,2.40%,4.00%
DIAPERS       (8/93),SANITARY NAPKINS,2.40%,2.90%,0.10%,3.20%,4.00%
DIAPERS       (8/93),SHAMPOO - BY SEGMENTS,2.40%,4.30%,0.10%,1.40%,2.70%
DIAPERS       (8/93),SKIN CREAMS,2.40%,4.00%,0.10%,1.60%,2.70%
"FRAGRANCE-PERFUM,DEO & COLOGNE",HAIR DYES     (1/76),1.70%,3.00%,0.10%,2.10%,3.60%
"FRAGRANCE-PERFUM,DEO & COLOGNE",HAIR OILS PKTP(8/02),1.70%,3.00%,0.10%,4.10%,7.30%
"FRAGRANCE-PERFUM,DEO & COLOGNE",HOME INSECTICIDES CTG  (8/93),1.70%,1.80%,0.10%,3.50%,3.60%
"FRAGRANCE-PERFUM,DEO & COLOGNE",KETCHUPS/SAUCES,1.70%,5.00%,0.10%,2.20%,6.40%
"FRAGRANCE-PERFUM,DEO & COLOGNE",LIQUID TOILET SOAPS  (8/93),1.70%,2.30%,0.10%,6.20%,8.20%
"FRAGRANCE-PERFUM,DEO & COLOGNE",MOSQUITO REPELLANTS CTG (8/93),1.70%,1.90%,0.10%,6.70%,7.30%
"FRAGRANCE-PERFUM,DEO & COLOGNE",PACKAGED ATTA (1/95),1.70%,8.70%,0.10%,1.30%,6.40%
"FRAGRANCE-PERFUM,DEO & COLOGNE",PACKAGED PURE GHEE,1.70%,4.90%,0.10%,1.90%,5.50%
"FRAGRANCE-PERFUM,DEO & COLOGNE",READY TO EAT,1.70%,3.90%,0.10%,3.20%,7.30%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SANITARY NAPKINS,1.70%,2.90%,0.10%,2.20%,3.60%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SHAMPOO - BY SEGMENTS,1.70%,4.30%,0.10%,2.90%,7.30%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SQSH CRDLS & SFT DRNK-CONVERTD,1.70%,1.90%,0.10%,5.00%,5.50%
"FRAGRANCE-PERFUM,DEO & COLOGNE",TALCUM POWDERS,1.70%,1.70%,0.10%,6.40%,6.40%
GLUCOSE POWDER & TABLET,HAIR DYES     (1/76),0.90%,3.00%,0.10%,2.10%,7.30%
GLUCOSE POWDER & TABLET,PACKAGED ATTA (1/95),0.90%,8.70%,0.10%,1.30%,12.70%
GLUCOSE POWDER & TABLET,PACKAGED PURE GHEE,0.90%,4.90%,0.10%,1.90%,10.90%
GLUCOSE POWDER & TABLET,PACKAGED TEA,0.90%,13.30%,0.10%,0.70%,10.90%
GLUCOSE POWDER & TABLET,PRE-POST WASH PRODUCTS,0.90%,3.30%,0.10%,1.90%,7.30%
GLUCOSE POWDER & TABLET,READY TO EAT,0.90%,3.90%,0.10%,1.60%,7.30%
GLUCOSE POWDER & TABLET,REFINED EDIBLE OILS-ALL PACKS,0.90%,12.40%,0.10%,1.10%,16.40%
GLUCOSE POWDER & TABLET,SHAMPOO - BY SEGMENTS,0.90%,4.30%,0.10%,1.40%,7.30%
GLUCOSE POWDER & TABLET,SKIN CREAMS,0.90%,4.00%,0.10%,2.00%,9.10%
GLUCOSE POWDER & TABLET,TOOTH PASTES,0.90%,9.10%,0.10%,1.50%,16.40%
GLUCOSE POWDER & TABLET,VERMICELLI & NOODLE,0.90%,17.20%,0.10%,0.60%,12.70%
HAIR CONDITIONERS,HAIR DYES     (1/76),0.90%,3.00%,0.10%,2.60%,8.60%
HAIR CONDITIONERS,MOSQUITO REPELLANTS CTG (8/93),0.90%,1.90%,0.10%,3.30%,6.90%
HAIR CONDITIONERS,PACKAGED PURE GHEE,0.90%,4.90%,0.10%,1.30%,6.90%
HAIR CONDITIONERS,PRE-POST WASH PRODUCTS,0.90%,3.30%,0.10%,2.30%,8.60%
HAIR CONDITIONERS,READY TO EAT,0.90%,3.90%,0.10%,1.60%,6.90%
HAIR CONDITIONERS,REFINED EDIBLE OILS-ALL PACKS,0.90%,12.40%,0.10%,1.00%,13.80%
HAIR CONDITIONERS,SALTY SNACKS (2/97),0.90%,20.10%,0.10%,0.60%,13.80%
HAIR CONDITIONERS,SKIN CREAMS,0.90%,4.00%,0.10%,2.00%,8.60%
HAIR CONDITIONERS,TALCUM POWDERS,0.90%,1.70%,0.10%,3.70%,6.90%
HAIR CONDITIONERS,TOOTH PASTES,0.90%,9.10%,0.10%,1.40%,13.80%
HAIR CONDITIONERS,WASHING POWDERS/LIQUIDS,0.90%,14.40%,0.10%,1.00%,15.50%
HAIR DYES     (1/76),HOME INSECTICIDES CTG  (8/93),3.00%,1.80%,0.10%,7.00%,4.20%
HAIR DYES     (1/76),JAMS/JELLY/MARMALADES-CTG,3.00%,1.70%,0.10%,5.60%,3.10%
HAIR DYES     (1/76),LIQUID TOILET SOAPS  (8/93),3.00%,2.30%,0.10%,4.80%,3.70%
HAIR DYES     (1/76),MOSQUITO REPELLANTS CTG (8/93),3.00%,1.90%,0.10%,3.30%,2.10%
HAIR DYES     (1/76),NON-REFINED OILS   (9/93),3.00%,1.70%,0.10%,3.70%,2.10%
HAIR DYES     (1/76),PRE-POST WASH PRODUCTS,3.00%,3.30%,0.10%,3.70%,4.20%
HAIR DYES     (1/76),PRICKLY HEAT POWDER,3.00%,0.80%,0.10%,9.60%,2.60%
HAIR DYES     (1/76),READY TO EAT,3.00%,3.90%,0.10%,3.60%,4.70%
HAIR DYES     (1/76),SANITARY NAPKINS,3.00%,2.90%,0.10%,3.20%,3.10%
HAIR DYES     (1/76),TALCUM POWDERS,3.00%,1.70%,0.10%,6.40%,3.70%
HAIR OILS PKTP(8/02),LIQUID TOILET SOAPS  (8/93),3.00%,2.30%,0.10%,5.50%,4.10%
HAIR OILS PKTP(8/02),MILK POWDERS,3.00%,1.70%,0.10%,8.30%,4.70%
HAIR OILS PKTP(8/02),MOSQUITO REPELLANTS CTG (8/93),3.00%,1.90%,0.10%,4.20%,2.60%
HAIR OILS PKTP(8/02),PRICKLY HEAT POWDER,3.00%,0.80%,0.10%,17.30%,4.70%
HAIR OILS PKTP(8/02),READY TO EAT,3.00%,3.90%,0.10%,3.60%,4.70%
HAIR OILS PKTP(8/02),SANITARY NAPKINS,3.00%,2.90%,0.10%,2.20%,2.10%
HAIR OILS PKTP(8/02),SCOURING PADS/SCRUBS,3.00%,1.70%,0.10%,5.70%,3.10%
HAIR OILS PKTP(8/02),SOAP CAKES/BARS,3.00%,0.80%,0.10%,8.00%,2.10%
HAIR OILS PKTP(8/02),TOOTH BRUSH   (7/93),3.00%,1.60%,0.10%,3.90%,2.10%
HOME INSECTICIDES CTG  (8/93),MOSQUITO REPELLANTS CTG (8/93),1.80%,1.90%,0.10%,5.80%,6.10%
HOME INSECTICIDES CTG  (8/93),NON-REFINED OILS   (9/93),1.80%,1.70%,0.10%,4.60%,4.30%
HOME INSECTICIDES CTG  (8/93),PACKAGED PURE GHEE,1.80%,4.90%,0.10%,2.90%,7.80%
HOME INSECTICIDES CTG  (8/93),PRE-POST WASH PRODUCTS,1.80%,3.30%,0.10%,2.30%,4.30%
HOME INSECTICIDES CTG  (8/93),PRICKLY HEAT POWDER,1.80%,0.80%,0.10%,7.70%,3.50%
HOME INSECTICIDES CTG  (8/93),READY TO EAT,1.80%,3.90%,0.10%,2.00%,4.30%
HOME INSECTICIDES CTG  (8/93),SCOURING PADS/SCRUBS,1.80%,1.70%,0.10%,5.70%,5.20%
HOME INSECTICIDES CTG  (8/93),SHAMPOO - BY SEGMENTS,1.80%,4.30%,0.10%,2.20%,5.20%
HOME INSECTICIDES CTG  (8/93),SKIN CREAMS,1.80%,4.00%,0.10%,3.10%,7.00%
HOME INSECTICIDES CTG  (8/93),TWIN BLADES,1.80%,0.50%,0.10%,11.40%,3.50%
JAMS/JELLY/MARMALADES-CTG,LIQUID TOILET SOAPS  (8/93),1.70%,2.30%,0.10%,4.80%,6.50%
JAMS/JELLY/MARMALADES-CTG,MILK POWDERS,1.70%,1.70%,0.10%,3.70%,3.70%
JAMS/JELLY/MARMALADES-CTG,MOSQUITO REPELLANTS CTG (8/93),1.70%,1.90%,0.10%,5.00%,5.60%
JAMS/JELLY/MARMALADES-CTG,NON-REFINED OILS   (9/93),1.70%,1.70%,0.10%,3.70%,3.70%
JAMS/JELLY/MARMALADES-CTG,PACKAGED PURE GHEE,1.70%,4.90%,0.10%,2.90%,8.40%
JAMS/JELLY/MARMALADES-CTG,PRE-POST WASH PRODUCTS,1.70%,3.30%,0.10%,3.30%,6.50%
JAMS/JELLY/MARMALADES-CTG,READY TO EAT,1.70%,3.90%,0.10%,2.40%,5.60%
JAMS/JELLY/MARMALADES-CTG,SCOURING PADS/SCRUBS,1.70%,1.70%,0.10%,5.70%,5.60%
JAMS/JELLY/MARMALADES-CTG,SHAMPOO - BY SEGMENTS,1.70%,4.30%,0.10%,3.20%,8.40%
JAMS/JELLY/MARMALADES-CTG,SQSH CRDLS & SFT DRNK-CONVERTD,1.70%,1.90%,0.10%,6.70%,7.50%
JAMS/JELLY/MARMALADES-CTG,TOOTH BRUSH   (7/93),1.70%,1.60%,0.10%,3.90%,3.70%
KETCHUPS/SAUCES,MILK POWDERS,5.00%,1.70%,0.10%,6.50%,2.20%
KETCHUPS/SAUCES,NON-REFINED OILS   (9/93),5.00%,1.70%,0.10%,7.30%,2.50%
KETCHUPS/SAUCES,PRICKLY HEAT POWDER,5.00%,0.80%,0.10%,7.70%,1.20%
KETCHUPS/SAUCES,SANITARY NAPKINS,5.00%,2.90%,0.10%,3.80%,2.20%
KETCHUPS/SAUCES,SOAP CAKES/BARS,5.00%,0.80%,0.10%,16.00%,2.50%
KETCHUPS/SAUCES,SQSH CRDLS & SFT DRNK-CONVERTD,5.00%,1.90%,0.10%,6.70%,2.50%
KETCHUPS/SAUCES,TALCUM POWDERS,5.00%,1.70%,0.10%,8.30%,2.80%
KETCHUPS/SAUCES,TOOTH BRUSH   (7/93),5.00%,1.60%,0.10%,8.80%,2.80%
KETCHUPS/SAUCES,VANASPATI CONS PACK (8/94),5.00%,1.00%,0.10%,7.80%,1.60%
LIQUID TOILET SOAPS  (8/93),MILK POWDERS,2.30%,1.70%,0.10%,5.60%,4.10%
LIQUID TOILET SOAPS  (8/93),MOSQUITO REPELLANTS CTG (8/93),2.30%,1.90%,0.10%,7.50%,6.20%
LIQUID TOILET SOAPS  (8/93),NON-REFINED OILS   (9/93),2.30%,1.70%,0.10%,4.60%,3.40%
LIQUID TOILET SOAPS  (8/93),PACKAGED RICE (1/95),2.30%,1.20%,0.10%,12.00%,6.20%
LIQUID TOILET SOAPS  (8/93),PRICKLY HEAT POWDER,2.30%,0.80%,0.10%,7.70%,2.70%
LIQUID TOILET SOAPS  (8/93),READY TO EAT,2.30%,3.90%,0.10%,3.60%,6.20%
LIQUID TOILET SOAPS  (8/93),SANITARY NAPKINS,2.30%,2.90%,0.10%,3.20%,4.10%
